x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.7142857142857143,0.02040816326530612,-0.34178830089158163,-0.36353900160647346,0.02,6.36
-0.7142857142857143,0.061224489795918366,-0.3364940260243318,-0.35639911941452973,0.02,5.92
-0.7142857142857143,0.10204081632653061,-0.32255807869395975,-0.3421193550306421,0.02,6.06
-0.7142857142857143,0.14285714285714285,-0.3014879928339684,-0.3206997084548107,0.02,6.37
-0.7142857142857143,0.1836734693877551,-0.27239842884480964,-0.29214017968703493,0.02,7.25
-0.7142857142857143,0.22448979591836735,-0.24562250850311046,-0.25644076872731614,0.01,4.4
-0.7142857142857143,0.2653061224489796,-0.20434251586972313,-0.21360147557565323,0.01,4.53
-0.7142857142857143,0.30612244897959184,-0.15304420826873816,-0.16362230023204644,0.01,6.91
-0.7142857142857143,0.3469387755102041,-0.1011588271699215,-0.10650324269649625,0.01,5.28
-0.7142857142857143,0.3877551020408163,-0.042150230243176115,-0.04224430296900076,0.0,0.22
-0.7142857142857143,0.42857142857142855,0.026761166781277455,0.029154518950437344,0.0,8.94
-0.7142857142857143,0.46938775510204084,0.09789207957075566,0.10769322306181935,0.01,10.01
-0.7142857142857143,0.5102040816326531,0.18349462622400706,0.19337180936514548,0.01,5.38
-0.7142857142857143,0.5510204081632653,0.2676128568741125,0.2861902778604147,0.02,6.94
-0.7142857142857143,0.5918367346938775,0.3665034678547592,0.3861486285476289,0.02,5.36
-0.7142857142857143,0.6326530612244898,0.4646817705004923,0.49324686142678664,0.03,6.15
-0.7142857142857143,0.673469387755102,0.5710134082559104,0.6074849764978884,0.04,6.39
-0.673469387755102,-0.7142857142857143,0.6829574418723126,0.7253610315429794,0.04,6.21
-0.673469387755102,-0.673469387755102,0.5772023097484007,0.6109189198378226,0.03,5.84
-0.673469387755102,-0.6326530612244898,0.47784103551449597,0.503208697056499,0.03,5.31
-0.673469387755102,-0.5918367346938775,0.3802920120880087,0.40223036319900696,0.02,5.77
-0.673469387755102,-0.5510204081632653,0.2929853694054578,0.30798391826534793,0.01,5.12
-0.673469387755102,-0.5102040816326531,0.2141339537934613,0.2204693622555231,0.01,2.96
-0.673469387755102,-0.46938775510204084,0.12957046893364696,0.13968669516952967,0.01,7.81
-0.673469387755102,-0.42857142857142855,0.06436029286756964,0.06563591700736957,0.0,1.98
-0.673469387755102,-0.3877551020408163,-0.004920995160660499,-0.0016829722309578592,0.0,65.8
-0.673469387755102,-0.3469387755102041,-0.05818488277842766,-0.06226997254545312,0.0,7.02
-0.673469387755102,-0.30612244897959184,-0.10949431772759724,-0.11612508393611493,0.01,6.06
-0.673469387755102,-0.2653061224489796,-0.15611258053100274,-0.1632483064029441,0.01,4.57
-0.673469387755102,-0.22448979591836735,-0.19646245339072488,-0.20363963994594084,0.01,3.65
-0.673469387755102,-0.1836734693877551,-0.22584353042975117,-0.2372990845651045,0.01,5.07
-0.673469387755102,-0.14285714285714285,-0.24925969154662836,-0.2642266402604355,0.01,6.0
-0.673469387755102,-0.10204081632653061,-0.270189349318279,-0.28442230703193383,0.01,5.27
-0.673469387755102,-0.061224489795918366,-0.27938827169969976,-0.2978860848795996,0.02,6.62
-0.673469387755102,-0.02040816326530612,-0.28752754294421323,-0.3046179738034323,0.02,5.94
-0.673469387755102,0.02040816326530612,-0.2858769597591392,-0.3046179738034323,0.02,6.56
-0.673469387755102,0.061224489795918366,-0.2794526536471912,-0.2978860848795996,0.02,6.6
-0.673469387755102,0.10204081632653061,-0.27091386739138207,-0.28442230703193383,0.01,4.99
-0.673469387755102,0.14285714285714285,-0.25019763570263587,-0.2642266402604355,0.01,5.61
-0.673469387755102,0.1836734693877551,-0.22670982549775606,-0.2372990845651045,0.01,4.67
-0.673469387755102,0.22448979591836735,-0.1924174508105584,-0.20363963994594084,0.01,5.83
-0.673469387755102,0.2653061224489796,-0.1511984136013435,-0.1632483064029441,0.01,7.97
-0.673469387755102,0.30612244897959184,-0.1080580519790115,-0.11612508393611493,0.01,7.47
-0.673469387755102,0.3469387755102041,-0.05612184245545556,-0.06226997254545312,0.01,10.95
-0.673469387755102,0.3877551020408163,-0.002016233472214585,-0.0016829722309578592,0.0,16.53
-0.673469387755102,0.42857142857142855,0.06032888423724205,0.06563591700736957,0.01,8.8
-0.673469387755102,0.46938775510204084,0.13238358660616864,0.13968669516952967,0.01,5.52
-0.673469387755102,0.5102040816326531,0.20659489624278113,0.2204693622555231,0.01,6.72
-0.673469387755102,0.5510204081632653,0.28944078458744726,0.30798391826534793,0.02,6.41
-0.673469387755102,0.5918367346938775,0.3790826156589083,0.40223036319900696,0.02,6.11
-0.673469387755102,0.6326530612244898,0.4760446643553447,0.503208697056499,0.03,5.71
-0.673469387755102,0.673469387755102,0.5792516750964469,0.6109189198378226,0.03,5.47
-0.673469387755102,0.7142857142857143,0.6832929078033458,0.7253610315429794,0.04,6.16
-0.6326530612244898,-0.7551020408163265,0.7793431270535006,0.8289573222041833,0.05,6.37
-0.6326530612244898,-0.7142857142857143,0.677252375948789,0.7151272004011932,0.04,5.59
-0.6326530612244898,-0.673469387755102,0.576761854887258,0.6076209742539247,0.03,5.35
-0.6326530612244898,-0.6326530612244898,0.480090008448395,0.5064386437623782,0.03,5.49
-0.6326530612244898,-0.5918367346938775,0.38955947282437003,0.4115802089265527,0.02,5.65
-0.6326530612244898,-0.5510204081632653,0.3062682015542999,0.32304566974644927,0.02,5.48
-0.6326530612244898,-0.5102040816326531,0.22580868288291756,0.24083502622206707,0.02,6.65
-0.6326530612244898,-0.46938775510204084,0.1556255589888828,0.16494827835340697,0.01,5.99
-0.6326530612244898,-0.42857142857142855,0.09010958797280491,0.0953854261404684,0.01,5.85
-0.6326530612244898,-0.3877551020408163,0.030351683888170184,0.032146469583251666,0.0,5.91
-0.6326530612244898,-0.3469387755102041,-0.0216368172374762,-0.02476859131824337,0.0,14.47
-0.6326530612244898,-0.30612244897959184,-0.06930753071438256,-0.0753597565640167,0.01,8.73
-0.6326530612244898,-0.2653061224489796,-0.11640551380792796,-0.11962702615406817,0.0,2.77
-0.6326530612244898,-0.22448979591836735,-0.14685645187830304,-0.15757040008839884,0.01,7.3
-0.6326530612244898,-0.1836734693877551,-0.179248219141393,-0.18918987836700682,0.01,5.55
-0.6326530612244898,-0.14285714285714285,-0.20433619888776047,-0.2144854609898937,0.01,4.97
-0.6326530612244898,-0.10204081632653061,-0.21690110756403663,-0.23345714795705874,0.02,7.63
-0.6326530612244898,-0.061224489795918366,-0.23226724653431394,-0.2461049392685021,0.01,5.96
-0.6326530612244898,-0.02040816326530612,-0.23931116081203077,-0.25242883492422374,0.01,5.48
-0.6326530612244898,0.02040816326530612,-0.2362595472629891,-0.25242883492422374,0.02,6.84
-0.6326530612244898,0.061224489795918366,-0.2319716630996475,-0.2461049392685021,0.01,6.09
-0.6326530612244898,0.10204081632653061,-0.21516433535089843,-0.23345714795705874,0.02,8.5
-0.6326530612244898,0.14285714285714285,-0.20597629390997918,-0.2144854609898937,0.01,4.13
-0.6326530612244898,0.1836734693877551,-0.1786201061758152,-0.18918987836700682,0.01,5.92
-0.6326530612244898,0.22448979591836735,-0.14825648988850088,-0.15757040008839884,0.01,6.28
-0.6326530612244898,0.2653061224489796,-0.11059136362313607,-0.11962702615406817,0.01,8.17
-0.6326530612244898,0.30612244897959184,-0.07302596239347077,-0.0753597565640167,0.0,3.2
-0.6326530612244898,0.3469387755102041,-0.028754319879001088,-0.02476859131824337,0.0,13.86
-0.6326530612244898,0.3877551020408163,0.031810930216853286,0.032146469583251666,0.0,1.05
-0.6326530612244898,0.42857142857142855,0.08886564156072183,0.0953854261404684,0.01,7.34
-0.6326530612244898,0.46938775510204084,0.15853987076299053,0.16494827835340697,0.01,4.04
-0.6326530612244898,0.5102040816326531,0.22854848632211477,0.24083502622206707,0.01,5.38
-0.6326530612244898,0.5510204081632653,0.30766656927125763,0.32304566974644927,0.02,5.0
-0.6326530612244898,0.5918367346938775,0.39124677404158587,0.4115802089265527,0.02,5.2
-0.6326530612244898,0.6326530612244898,0.482606381841492,0.5064386437623782,0.02,4.94
-0.6326530612244898,0.673469387755102,0.5773096380064878,0.6076209742539247,0.03,5.25
-0.6326530612244898,0.7142857142857143,0.6759878431648232,0.7151272004011932,0.04,5.79
-0.6326530612244898,0.7551020408163265,0.7798465510854726,0.8289573222041833,0.05,6.3
-0.5918367346938775,-0.7959183673469388,0.8618384099289615,0.9174578619452779,0.06,6.45
-0.5918367346938775,-0.7551020408163265,0.7631197558196662,0.8050557165806762,0.04,5.5
-0.5918367346938775,-0.7142857142857143,0.6646530324707591,0.6985694736036852,0.03,5.1
-0.5918367346938775,-0.673469387755102,0.5639025770331725,0.5979991330143055,0.03,6.05
-0.5918367346938775,-0.6326530612244898,0.47435397937314266,0.5033446948125356,0.03,6.11
-0.5918367346938775,-0.5918367346938775,0.3935508601491494,0.41460615899837655,0.02,5.35
-0.5918367346938775,-0.5510204081632653,0.31457131878726163,0.3317835255718284,0.02,5.47
-0.5918367346938775,-0.5102040816326531,0.24126465343510914,0.25487679453289025,0.01,5.64
-0.5918367346938775,-0.46938775510204084,0.174973733065585,0.18388596588156297,0.01,5.09
-0.5918367346938775,-0.42857142857142855,0.11023115869893467,0.11881103961784616,0.01,7.78
-0.5918367346938775,-0.3877551020408163,0.05342442326880712,0.05965201574174,0.01,11.66
-0.5918367346938775,-0.3469387755102041,0.005266851781420263,0.006408894253244779,0.0,21.68
-0.5918367346938775,-0.30612244897959184,-0.040027840022077335,-0.040918324847639846,0.0,2.22
-0.5918367346938775,-0.2653061224489796,-0.07784574722699542,-0.08232964156091456,0.0,5.76
-0.5918367346938775,-0.22448979591836735,-0.11110119765642974,-0.11782505588657814,0.01,6.05
-0.5918367346938775,-0.1836734693877551,-0.13751869240326664,-0.14740456782463107,0.01,7.19
-0.5918367346938775,-0.14285714285714285,-0.16212572006599404,-0.17106817737507318,0.01,5.52
-0.5918367346938775,-0.10204081632653061,-0.1815467801922005,-0.18881588453790507,0.01,4.0
-0.5918367346938775,-0.061224489795918366,-0.19032944628929288,-0.20064768931312627,0.01,5.42
-0.5918367346938775,-0.02040816326530612,-0.19696077780090168,-0.20656359170073693,0.01,4.88
-0.5918367346938775,0.02040816326530612,-0.19419396163540578,-0.20656359170073693,0.01,6.37
-0.5918367346938775,0.061224489795918366,-0.19184120172696822,-0.20064768931312627,0.01,4.59
-0.5918367346938775,0.10204081632653061,-0.17721780326845166,-0.18881588453790507,0.01,6.54
